"","SourceFile","Directory","FileName","Rings_visible","Rings_comb","Flag","comments","Molt","Score","date"
"302","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0013.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0013.JPG","1","RWBY","0","","1",5,2021-11-09
"303","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0209.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0209.JPG","1","RBBL","0","","0",NA,2021-11-09
"304","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0039.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0039.JPG","1","RWBB","0","","1",5,2021-11-09
"305","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0040.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0040.JPG","1","RWBB","0","","1",5,2021-11-09
"306","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0057.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0057.JPG","1","RBBO","0","","1",4,2021-11-09
"307","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0064.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0064.JPG","1","RWLB","0","","1",5,2021-11-09
"308","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0065.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0065.JPG","1","RWLG","0","","1",5,2021-11-09
"309","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0082.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0082.JPG","1","RYBB_F","1","","1",6,2021-11-09
"310","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0091.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0091.JPG","1","RYLY","0","","1",5,2021-11-09
"311","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39/IMG_0095.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/November_2021/2021_11_09 Dot ob new nest 39","IMG_0095.JPG","1","RYBB_F","1","","1",6,2021-11-09
